total_epoch,confidence_threshold,iou_threshold,precision,recall,accuracy,f1
80,0.8,0.6,1.0,0.00909090909090909,0.00909090909090909,0.018018018018018018
80,0.8,0.7,1.0,0.006802721088435374,0.006802721088435374,0.013513513513513514
80,0.8,0.8,1.0,0.004070556309362279,0.004070556309362279,0.008108108108108109
80,0.8,0.9,1.0,0.0009017132551848512,0.0009017132551848512,0.0018018018018018018
80,0.9,0.6,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
80,0.9,0.7,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
80,0.9,0.8,1.0,0.00045599635202918376,0.00045599635202918376,0.0009115770282588879
90,0.7,0.6,0.9948979591836735,0.08728737690241718,0.087248322147651,0.16049382716049382
90,0.7,0.7,0.9936305732484076,0.0686317641882974,0.06860158311345646,0.12839506172839507
90,0.7,0.8,1.0,0.03667377398720682,0.03667377398720682,0.07075277663512958
90,0.7,0.9,1.0,0.0028877887788778876,0.0028877887788778876,0.005758946935417524
90,0.8,0.6,0.9883720930232558,0.0384963768115942,0.03847894975101856,0.07410636442894507
90,0.8,0.7,0.9859154929577465,0.03148897885739991,0.03147482014388489,0.06102877070619006
90,0.8,0.8,1.0,0.021361815754339118,0.021361815754339118,0.04183006535947712
90,0.8,0.9,1.0,0.002183406113537118,0.002183406113537118,0.004357298474945534
90,0.9,0.6,1.0,0.00273224043715847,0.00273224043715847,0.005449591280653951
90,0.9,0.7,1.0,0.00273224043715847,0.00273224043715847,0.005449591280653951
90,0.9,0.8,1.0,0.0018198362147406734,0.0018198362147406734,0.0036330608537693005
90,0.9,0.9,1.0,0.0009090909090909091,0.0009090909090909091,0.0018165304268846503
100,0.7,0.6,0.9942196531791907,0.07668301382077575,0.0766488413547237,0.1423841059602649
100,0.7,0.7,1.0,0.061484409310496264,0.061484409310496264,0.11584609019445594
100,0.7,0.8,1.0,0.03511777301927195,0.03511777301927195,0.06785270997103848
100,0.7,0.9,1.0,0.002904564315352697,0.002904564315352697,0.005792304509722797
100,0.8,0.6,0.9878048780487805,0.03666817564508828,0.03665158371040724,0.07071147970318638
100,0.8,0.7,1.0,0.0315031503150315,0.0315031503150315,0.06108202443280977
100,0.8,0.8,1.0,0.017761989342806393,0.017761989342806393,0.034904013961605584
100,0.8,0.9,1.0,0.001310615989515072,0.001310615989515072,0.002617801047120419
100,0.9,0.6,1.0,0.004559963520291838,0.004559963520291838,0.009078529278256923
100,0.9,0.7,1.0,0.004559963520291838,0.004559963520291838,0.009078529278256923
100,0.9,0.8,1.0,0.0022747952684258415,0.0022747952684258415,0.004539264639128461
100,0.9,0.9,1.0,0.00045413260672116256,0.00045413260672116256,0.0009078529278256923
